Rank;Full Journal Title;JCR Abbreviated Title;Issn;Total Cites;Journal Impact Factor;Impact Factor without Journal Self Cites;5-Year Impact Factor;Immediacy Index;Citable Items;Cited Half-life;Citing Half-life;Eigenfactor Score;Article Influence Score;% Articles in Citable Items;Average Journal Impact Factor Percentile;Normalized Eigenfactor
1;CA-A CANCER JOURNAL FOR CLINICIANS;CA-CANCER J CLIN;0007-9235;20,488;137.578;137.111;145.020;46.423;26;4.1;5.3;0.062310;40.795;46.150;99.765;7.10217
2;NEW ENGLAND JOURNAL OF MEDICINE;NEW ENGL J MED;0028-4793;283,525;59.558;58.913;56.170;20.012;342;8.3;5.0;0.682350;25.710;87.430;99.677;77.77425
3;NATURE REVIEWS DRUG DISCOVERY;NAT REV DRUG DISCOV;1474-1776;25,460;47.120;46.470;43.016;8.475;40;6.8;5.4;0.062730;16.331;32.500;99.747;7.14982
4;LANCET;LANCET;0140-6736;195,553;44.002;42.580;46.119;13.21;309;9.0;4.7;0.407170;19.136;91.910;99.032;46.40970
5;NATURE BIOTECHNOLOGY;NAT BIOTECHNOL;1087-0156;48,650;43.113;42.069;41.388;8.947;114;7.2;4.8;0.157110;20.904;100.000;99.068;17.90796
6;NATURE REVIEWS IMMUNOLOGY;NAT REV IMMUNOL;1474-1733;31,545;39.416;39.008;39.328;5.517;58;6.9;5.5;0.087280;17.543;13.790;99.669;9.94832
7;NATURE MATERIALS;NAT MATER;1476-1122;72,306;38.891;38.533;45.772;8.565;170;6.3;6.1;0.207610;19.174;95.880;99.594;23.66322
8;NATURE REVIEWS MOLECULAR CELL BIOLOGY;NAT REV MOL CELL BIO;1471-0072;36,784;38.602;38.325;40.923;4.915;59;7.4;5.9;0.099310;20.269;13.560;99.733;11.31968
9;NATURE;NATURE;0028-0836;627,846;38.138;37.546;41.458;9.518;897;>10.0;5.8;1.442560;22.215;94.870;99.206;164.42322
10;Annual Review of Astronomy and Astrophysics;ANNU REV ASTRON ASTR;0066-4146;9,000;37.846;37.231;31.586;2.875;16;>10.0;7.1;0.020160;19.042;0.000;99.194;2.29755
11;JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION;JAMA-J AM MED ASSOC;0098-7484;129,909;37.684;36.857;33.569;9.497;197;>10.0;5.5;0.274210;15.990;87.310;98.387;31.25430
12;CHEMICAL REVIEWS;CHEM REV;0009-2665;148,154;37.369;36.920;51.560;8.87;261;8.1;7.3;0.245030;15.257;0.000;99.693;27.92871
13;NATURE REVIEWS GENETICS;NAT REV GENET;1471-0056;30,286;35.898;35.504;41.215;6.431;51;6.3;4.9;0.106820;20.837;5.880;99.699;12.17582
14;Annual Review of Immunology;ANNU REV IMMUNOL;0732-0582;17,023;35.543;35.543;40.445;5.154;26;9.3;Not Available;0.036550;20.309;0.000;99.007;4.16577
15;Nature Nanotechnology;NAT NANOTECHNOL;1748-3387;40,881;35.267;34.774;40.632;7.914;152;4.7;5.2;0.167380;17.348;94.740;99.422;19.07795
16;SCIENCE;SCIENCE;0036-8075;568,210;34.661;34.213;34.921;8.961;828;>10.0;5.4;1.153670;18.018;91.910;97.619;131.49522
17;NATURE REVIEWS CANCER;NAT REV CANCER;1474-175X;41,846;34.244;34.000;42.340;4.927;55;7.8;5.5;0.087810;17.333;5.450;99.296;10.00869
18;CHEMICAL SOCIETY REVIEWS;CHEM SOC REV;0306-0012;99,930;34.090;33.450;36.630;9.592;360;4.2;5.6;0.269940;9.846;0.000;99.080;30.76795
19;REVIEWS OF MODERN PHYSICS;REV MOD PHYS;0034-6861;41,133;33.177;32.962;46.681;6.474;38;>10.0;9.1;0.097170;26.999;97.370;99.367;11.07584
20;Living Reviews in Relativity;LIVING REV RELATIV;1433-8351;2,038;32.000;31.750;26.333;1.667;3;5.6;>10.0;0.007360;11.592;0.000;98.214;0.83923
21;NATURE GENETICS;NAT GENET;1061-4036;86,870;31.616;30.849;32.197;6.267;195;7.7;5.0;0.254150;16.756;100.000;99.096;28.96818
22;Nature Photonics;NAT PHOTONICS;1749-4885;28,381;31.167;30.535;34.159;8.77;113;3.9;5.4;0.135650;15.204;91.150;99.205;15.46159
23;PROGRESS IN MATERIALS SCIENCE;PROG MATER SCI;0079-6425;9,196;31.083;30.854;33.505;4.593;27;7.5;8.7;0.016770;10.364;0.000;99.077;1.91154
24;PHYSIOLOGICAL REVIEWS;PHYSIOL REV;0031-9333;24,788;30.924;30.803;35.523;3.242;33;>10.0;>10.0;0.035500;13.493;0.000;99.398;4.04675
25;NATURE MEDICINE;NAT MED;1078-8956;65,230;30.357;30.041;28.439;5.994;162;8.2;5.2;0.161790;12.999;92.590;99.541;18.44069
26;NATURE REVIEWS NEUROSCIENCE;NAT REV NEUROSCI;1471-003X;33,792;29.298;29.033;35.142;5.603;58;8.0;6.4;0.072440;16.183;6.900;99.805;8.25667
27;CELL;CELL;0092-8674;202,467;28.710;28.123;32.857;6.151;437;9.0;5.7;0.555090;18.920;89.930;99.072;63.26879
28;Nature Chemistry;NAT CHEM;1755-4330;21,232;27.893;27.660;27.567;5.942;120;3.8;6.3;0.103150;10.477;96.670;98.466;11.75647
29;PROGRESS IN POLYMER SCIENCE;PROG POLYM SCI;0079-6700;21,240;27.184;26.752;33.920;4.0;47;6.8;6.6;0.032990;7.934;0.000;99.412;3.76075
30;LANCET ONCOLOGY;LANCET ONCOL;1470-2045;30,800;26.509;25.813;28.181;8.17;171;4.2;4.6;0.116760;11.061;79.530;98.826;13.30779
31;Energy & Environmental Science;ENERG ENVIRON SCI;1754-5692;48,114;25.427;24.551;22.118;6.142;317;3.3;4.1;0.164740;5.575;85.800;99.173;18.77717
32;NATURE METHODS;NAT METHODS;1548-7091;38,428;25.328;24.698;35.028;5.257;167;4.5;4.8;0.202290;18.657;98.800;99.351;23.05755
33;NATURE REVIEWS MICROBIOLOGY;NAT REV MICROBIOL;1740-1526;21,053;24.727;24.540;27.755;4.033;60;6.2;5.9;0.064940;12.096;31.670;99.593;7.40190
34;MATERIALS SCIENCE & ENGINEERING R-REPORTS;MAT SCI ENG R;0927-796X;5,802;24.652;24.652;19.887;3.692;13;>10.0;>10.0;0.006250;5.823;0.000;98.492;0.71263
35;IMMUNITY;IMMUNITY;1074-7613;39,637;24.082;23.281;22.086;3.466;174;6.7;5.4;0.133130;11.243;90.800;98.344;15.17450
36;Annual Review of Pathology-Mechanisms of Disease;ANNU REV PATHOL-MECH;1553-4006;3,448;23.758;23.758;26.082;4.158;19;4.8;7.3;0.013270;10.322;0.000;99.367;1.51237
37;LANCET NEUROLOGY;LANCET NEUROL;1474-4422;21,460;23.468;22.995;23.736;6.1;90;5.8;5.2;0.065940;9.583;58.890;99.741;7.51554
38;CANCER CELL;CANCER CELL;1535-6108;29,149;23.214;22.879;26.343;4.982;110;5.9;5.0;0.102440;12.498;99.090;98.243;11.67588
39;Cell Stem Cell;CELL STEM CELL;1934-5909;18,575;22.387;21.262;22.567;3.712;104;4.6;4.7;0.091360;11.044;85.580;97.606;10.41334
40;Annual Review of Plant Biology;ANNU REV PLANT BIOL;1543-5008;16,767;22.131;21.967;25.829;4.625;24;>10.0;6.0;0.019750;9.328;0.000;99.761;2.25107
41;ACCOUNTS OF CHEMICAL RESEARCH;ACCOUNTS CHEM RES;0001-4842;58,876;22.003;21.859;23.481;3.919;310;6.4;6.3;0.123380;7.324;0.000;97.239;14.06282
42;Annual Review of Biochemistry;ANNU REV BIOCHEM;0066-4154;19,244;21.407;21.322;26.956;3.4;35;>10.0;7.8;0.035060;14.490;0.000;99.135;3.99623
